,ChildId,DefaultAction,Description,Help,KeyboardShortcut,Name,Role,State,Value
0,0,ShowMenu,,,,Media Alt+M,12,128,
1,0,Press,,,,Open File... Ctrl+O,12,128,
2,0,Press,,,,Open Multiple Files... Ctrl+Shift+O,12,128,
3,0,Press,,,,Open Folder... Ctrl+F,12,128,
4,0,Press,,,,Open Disc... Ctrl+D,12,128,
5,0,Press,,,,Open Network Stream... Ctrl+N,12,128,
6,0,Press,,,,Open Capture Device... Ctrl+C,12,128,
7,0,Press,,,,Open Location from clipboard Ctrl+V,12,128,
8,0,ShowMenu,,,,Open Recent Media Alt+R,12,128,
9,0,,,,,,21,129,
10,0,Press,,,,Save Playlist to File... Ctrl+Y,12,128,
11,0,Press,,,,Convert / Save... Ctrl+R,12,128,
12,0,Press,,,,Stream... Ctrl+S,12,128,
13,0,,,,,,21,129,
14,0,Press,,,,Quit at the end of playlist,12,144,
15,0,Press,,,,Quit Ctrl+Q,12,128,
16,0,ShowMenu,,,,Playback Alt+l,12,128,
17,0,ShowMenu,,,,Title Alt+i,12,129,
18,0,ShowMenu,,,,Chapter Alt+C,12,129,
19,0,ShowMenu,,,,Program Alt+P,12,129,
20,0,ShowMenu,,,,Custom Bookmarks Alt+B,12,129,
21,0,,,,,,21,129,
22,0,ShowMenu,,,,Renderer Alt+R,12,128,
23,0,,,,,,21,129,
24,0,ShowMenu,,,,Speed Alt+e,12,129,
25,0,,,,,,21,129,
26,0,Press,,,,Jump Forward Alt+J,12,129,
27,0,Press,,,,Jump Backward Alt+k,12,129,
28,0,Press,,,,Jump to Specific Time Ctrl+T,12,128,
29,0,,,,,,21,129,
30,0,,,,,,21,129,
31,0,Press,,,,Play Alt+P,12,128,
32,0,Press,,,,Stop Alt+S,12,129,
33,0,Press,,,,Previous Alt+v,12,129,
34,0,Press,,,,Next Alt+x,12,129,
35,0,Press,,,,Record,12,129,
36,0,,,,,,21,129,
37,0,ShowMenu,,,,Audio Alt+A,12,128,
38,0,ShowMenu,,,,Audio Track Alt+T,12,129,
39,0,ShowMenu,,,,Audio Device Alt+D,12,128,
40,0,ShowMenu,,,,Stereo Mode Alt+S,12,129,
41,0,,,,,,21,129,
42,0,ShowMenu,,,,Visualizations Alt+V,12,129,
43,0,,,,,,21,129,
44,0,Press,,,,Increase Volume Alt+I,12,128,
45,0,Press,,,,Decrease Volume Alt+e,12,128,
46,0,Press,,,,Mute Alt+M,12,128,
47,0,ShowMenu,,,,Video Alt+V,12,128,
48,0,ShowMenu,,,,Video Track Alt+T,12,129,
49,0,,,,,,21,129,
50,0,Press,,,,Fullscreen Alt+F,12,128,
51,0,Press,,,,Always Fit Window Alt+W,12,129,
52,0,Press,,,,Set as Wallpaper Alt+p,12,128,
53,0,,,,,,21,129,
54,0,ShowMenu,,,,Zoom Alt+Z,12,129,
55,0,ShowMenu,,,,Aspect Ratio Alt+A,12,129,
56,0,ShowMenu,,,,Crop Alt+C,12,129,
57,0,,,,,,21,129,
58,0,ShowMenu,,,,Deinterlace Alt+D,12,129,
59,0,ShowMenu,,,,Deinterlace mode Alt+D,12,129,
60,0,,,,,,21,129,
61,0,Press,,,,Take Snapshot Alt+S,12,129,
62,0,ShowMenu,,,,Subtitle Alt+t,12,128,
63,0,Press,,,,Add Subtitle File... Alt+S,12,128,
64,0,ShowMenu,,,,Sub Track Alt+T,12,129,
65,0,,,,,,21,129,
66,0,ShowMenu,,,,Tools Alt+s,12,128,
67,0,Press,,,,Effects and Filters Ctrl+E,12,128,
68,0,Press,,,,Track Synchronization Alt+T,12,128,
69,0,Press,,,,Media Information Ctrl+I,12,128,
70,0,Press,,,,Codec Information Ctrl+J,12,128,
71,0,Press,,,,VLM Configuration Ctrl+Shift+W,12,128,
72,0,Press,,,,Program Guide,12,128,
73,0,Press,,,,Messages Ctrl+M,12,128,
74,0,Press,,,,Plugins and extensions Alt+g,12,128,
75,0,,,,,,21,129,
76,0,Press,,,,Customize Interface... Alt+z,12,128,
77,0,Press,,,,Preferences Ctrl+P,12,128,
78,0,ShowMenu,,,,View Alt+i,12,128,
79,0,Press,,,,Playlist Ctrl+L,12,128,
80,0,Press,,,,Docked Playlist,12,144,
81,0,,,,,,21,129,
82,0,Press,,,,Always on top Alt+t,12,128,
83,0,,,,,,21,129,
84,0,Press,,,,Minimal Interface Ctrl+H,12,128,
85,0,Press,,,,Fullscreen Interface F11,12,128,
86,0,Press,,,,Advanced Controls Alt+A,12,128,
87,0,Press,,,,Status Bar,12,128,
88,0,,,,,,21,129,
89,0,ShowMenu,,,,Add Interface,12,128,
90,0,,,,,,21,129,
91,0,,,,,,21,129,
92,0,Press,,,,VLsub,12,128,
93,0,ShowMenu,,,,Help Alt+H,12,128,
94,0,Press,,,,Help F1,12,128,
95,0,Press,,,,Check for Updates... Alt+U,12,128,
96,0,,,,,,21,129,
97,0,Press,,,,About Shift+F1,12,128,
